EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
133668.000000,0.000000,0.000000,828.614746,19.559572,22.023991,-0.026579,0.023605
133669.000000,0.000000,0.000000,828.614746,19.559572,22.023991,-0.026579,0.023605
133670.000000,0.000000,0.000000,828.709473,19.579439,22.001713,-0.026549,0.023626
133671.000000,0.000000,0.000000,828.897949,19.540071,22.001530,-0.026543,0.023574
133672.000000,0.000000,0.000000,828.709473,19.539919,22.001743,-0.026549,0.023579
133673.000000,0.000000,0.000000,828.804199,19.559786,21.979465,-0.026519,0.023600
133674.000000,0.000000,0.000000,828.897949,19.540071,22.001530,-0.026543,0.023574
133675.000000,0.000000,0.000000,828.803223,19.520082,21.979343,-0.026519,0.023552
133676.000000,0.000000,0.000000,828.708984,19.539797,21.957279,-0.026496,0.023579
133677.000000,0.000000,0.000000,828.897949,19.540071,21.957218,-0.026490,0.023574
133678.000000,0.000000,0.000000,828.992676,19.520357,21.979282,-0.026513,0.023547
133679.000000,0.000000,0.000000,828.897461,19.500368,21.957096,-0.026490,0.023526
133680.000000,0.000000,0.000000,828.802734,19.480501,21.979374,-0.026519,0.023504
133681.000000,0.000000,0.000000,829.085938,19.461000,21.956882,-0.026483,0.023473
133682.000000,0.000000,0.000000,829.085938,19.460939,22.001163,-0.026537,0.023473
133683.000000,0.000000,0.000000,828.991699,19.480654,21.979130,-0.026513,0.023499
133684.000000,0.000000,0.000000,828.991699,19.480654,21.979130,-0.026513,0.023499
133685.000000,0.000000,0.000000,829.180176,19.441286,21.978916,-0.026507,0.023446
133686.000000,0.000000,0.000000,829.085938,19.460939,22.001163,-0.026537,0.023473
133687.000000,0.000000,0.000000,829.180176,19.441286,21.978916,-0.026507,0.023446
133688.000000,0.000000,0.000000,829.180176,19.441286,21.978916,-0.026507,0.023446
133689.000000,0.000000,0.000000,829.274414,19.461123,21.956638,-0.026477,0.023468
133690.000000,0.000000,0.000000,829.274414,19.461123,21.956638,-0.026477,0.023468
133691.000000,0.000000,0.000000,829.274414,19.421633,21.956669,-0.026477,0.023420
133692.000000,0.000000,0.000000,829.274414,19.421633,21.956669,-0.026477,0.023420
133693.000000,0.000000,0.000000,829.179688,19.401628,21.934498,-0.026453,0.023399
133694.000000,0.000000,0.000000,829.274414,19.421633,21.956669,-0.026477,0.023420
133695.000000,0.000000,0.000000,829.274414,19.421633,21.956669,-0.026477,0.023420
133696.000000,0.000000,0.000000,829.180176,19.441286,21.978916,-0.026507,0.023446
133697.000000,0.000000,0.000000,829.179688,19.401628,21.934498,-0.026453,0.023399
133698.000000,0.000000,0.000000,829.085449,19.421282,21.956745,-0.026483,0.023425
133699.000000,0.000000,0.000000,829.179199,19.362017,21.978809,-0.026507,0.023351
133700.000000,0.000000,0.000000,829.084961,19.381762,21.956776,-0.026483,0.023377
133701.000000,0.000000,0.000000,828.990234,19.361757,21.934589,-0.026459,0.023356
133702.000000,0.000000,0.000000,829.084961,19.381762,21.956776,-0.026483,0.023377
133703.000000,0.000000,0.000000,829.273438,19.342363,21.956562,-0.026477,0.023324
133704.000000,0.000000,0.000000,829.084473,19.342012,21.956623,-0.026483,0.023329
133705.000000,0.000000,0.000000,828.895020,19.381334,21.868092,-0.026382,0.023382
133706.000000,0.000000,0.000000,828.990234,19.361757,21.934589,-0.026459,0.023356
133707.000000,0.000000,0.000000,828.895996,19.341890,21.956867,-0.026489,0.023335
133708.000000,0.000000,0.000000,829.178711,19.362108,21.934528,-0.026453,0.023351
133709.000000,0.000000,0.000000,829.083984,19.342104,21.912342,-0.026430,0.023329
133710.000000,0.000000,0.000000,829.083984,19.342104,21.912342,-0.026430,0.023329
133711.000000,0.000000,0.000000,829.084961,19.381762,21.956776,-0.026483,0.023377
133712.000000,0.000000,0.000000,828.988770,19.322100,21.890156,-0.026406,0.023308
133713.000000,0.000000,0.000000,828.895020,19.302233,21.912434,-0.026436,0.023287
133714.000000,0.000000,0.000000,829.178711,19.322359,21.934376,-0.026453,0.023303
133715.000000,0.000000,0.000000,828.895020,19.302233,21.912434,-0.026436,0.023287
133716.000000,0.000000,0.000000,828.800293,19.321764,21.890232,-0.026412,0.023313
133717.000000,0.000000,0.000000,828.895020,19.341753,21.912403,-0.026436,0.023334
133718.000000,0.000000,0.000000,828.705566,19.301958,21.868229,-0.026388,0.023292
133719.000000,0.000000,0.000000,828.705566,19.301958,21.868229,-0.026388,0.023292
133720.000000,0.000000,0.000000,828.705566,19.301958,21.868229,-0.026388,0.023292
133721.000000,0.000000,0.000000,828.610840,19.282122,21.890507,-0.026418,0.023270
133722.000000,0.000000,0.000000,828.517090,19.301775,21.912754,-0.026448,0.023297
133723.000000,0.000000,0.000000,828.516602,19.262056,21.912601,-0.026448,0.023249
133724.000000,0.000000,0.000000,828.422363,19.281771,21.890568,-0.026424,0.023275
133725.000000,0.000000,0.000000,828.422363,19.281771,21.890568,-0.026424,0.023275
133726.000000,0.000000,0.000000,828.421875,19.281832,21.846287,-0.026371,0.023275
133727.000000,0.000000,0.000000,828.327637,19.301485,21.868534,-0.026401,0.023302
133728.000000,0.000000,0.000000,828.233887,19.321138,21.890781,-0.026431,0.023328
133729.000000,0.000000,0.000000,828.139160,19.340853,21.868717,-0.026407,0.023355
133730.000000,0.000000,0.000000,828.328613,19.341143,21.912968,-0.026454,0.023350
133731.000000,0.000000,0.000000,828.233398,19.321199,21.846470,-0.026377,0.023328
133732.000000,0.000000,0.000000,828.044922,19.321016,21.890995,-0.026437,0.023333
133733.000000,0.000000,0.000000,828.044922,19.321016,21.890995,-0.026437,0.023333
133734.000000,0.000000,0.000000,828.044922,19.321077,21.846714,-0.026383,0.023333
133735.000000,0.000000,0.000000,827.949707,19.301073,21.824543,-0.026360,0.023312
133736.000000,0.000000,0.000000,827.855957,19.320726,21.846790,-0.026390,0.023338
133737.000000,0.000000,0.000000,827.667480,19.360094,21.847004,-0.026396,0.023391
133738.000000,0.000000,0.000000,827.666504,19.320543,21.891315,-0.026449,0.023343
133739.000000,0.000000,0.000000,827.666504,19.320543,21.891315,-0.026449,0.023343
133740.000000,0.000000,0.000000,827.667480,19.360262,21.891453,-0.026450,0.023391
133741.000000,0.000000,0.000000,827.478027,19.320391,21.891560,-0.026456,0.023349
133742.000000,0.000000,0.000000,827.384277,19.340075,21.913807,-0.026486,0.023375
133743.000000,0.000000,0.000000,827.289551,19.359819,21.891773,-0.026462,0.023402
133744.000000,0.000000,0.000000,827.194824,19.339952,21.914051,-0.026492,0.023380
133745.000000,0.000000,0.000000,827.194824,19.339830,21.869587,-0.026438,0.023380
133746.000000,0.000000,0.000000,827.194824,19.339952,21.914051,-0.026492,0.023380
133747.000000,0.000000,0.000000,827.194824,19.339952,21.914051,-0.026492,0.023380
133748.000000,0.000000,0.000000,827.101074,19.359667,21.892017,-0.026468,0.023407
133749.000000,0.000000,0.000000,827.006348,19.379381,21.869953,-0.026445,0.023433
