EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
285890.000000,0.000000,0.000000,707.703125,16.088181,-21.250883,0.030028,0.022733
285891.000000,0.000000,0.000000,707.514160,16.048340,-21.250792,0.030036,0.022683
285892.000000,0.000000,0.000000,707.325195,16.047989,-21.250700,0.030044,0.022688
285893.000000,0.000000,0.000000,707.324707,16.008469,-21.250700,0.030044,0.022632
285894.000000,0.000000,0.000000,707.418945,15.988815,-21.272947,0.030071,0.022602
285895.000000,0.000000,0.000000,707.229980,15.988480,-21.272856,0.030079,0.022607
285896.000000,0.000000,0.000000,707.041016,15.988388,-21.272642,0.030087,0.022613
285897.000000,0.000000,0.000000,707.041016,15.988388,-21.272642,0.030087,0.022613
285898.000000,0.000000,0.000000,707.324219,15.968826,-21.295103,0.030107,0.022576
285899.000000,0.000000,0.000000,707.040039,15.948730,-21.317076,0.030150,0.022557
285900.000000,0.000000,0.000000,706.945312,15.928894,-21.294798,0.030122,0.022532
285901.000000,0.000000,0.000000,707.041016,15.948776,-21.228300,0.030024,0.022557
285902.000000,0.000000,0.000000,706.946289,15.928711,-21.206175,0.029997,0.022532
285903.000000,0.000000,0.000000,707.041016,15.948776,-21.228300,0.030024,0.022557
285904.000000,0.000000,0.000000,706.946289,15.928772,-21.250486,0.030060,0.022532
285905.000000,0.000000,0.000000,706.851562,15.908875,-21.228209,0.030032,0.022507
285906.000000,0.000000,0.000000,706.663086,15.908813,-21.227995,0.030040,0.022513
285907.000000,0.000000,0.000000,706.756836,15.888870,-21.250395,0.030067,0.022481
285908.000000,0.000000,0.000000,706.756836,15.888870,-21.250395,0.030067,0.022481
285909.000000,0.000000,0.000000,706.662109,15.869034,-21.228117,0.030040,0.022456
285910.000000,0.000000,0.000000,706.851074,15.869156,-21.228361,0.030032,0.022450
285911.000000,0.000000,0.000000,706.756348,15.849319,-21.206083,0.030005,0.022425
285912.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285913.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285914.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285915.000000,0.000000,0.000000,706.661621,15.829315,-21.228270,0.030040,0.022400
285916.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285917.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285918.000000,0.000000,0.000000,706.850586,15.829666,-21.228331,0.030032,0.022395
285919.000000,0.000000,0.000000,706.944824,15.810013,-21.250578,0.030060,0.022364
285920.000000,0.000000,0.000000,706.944336,15.770294,-21.250731,0.030060,0.022308
285921.000000,0.000000,0.000000,707.039062,15.790298,-21.228544,0.030025,0.022333
285922.000000,0.000000,0.000000,707.039062,15.829849,-21.272856,0.030087,0.022389
285923.000000,0.000000,0.000000,707.039062,15.790131,-21.273008,0.030087,0.022333
285924.000000,0.000000,0.000000,707.227539,15.790482,-21.273069,0.030080,0.022327
285925.000000,0.000000,0.000000,707.321777,15.770828,-21.295317,0.030107,0.022297
285926.000000,0.000000,0.000000,707.321777,15.770828,-21.295317,0.030107,0.022297
285927.000000,0.000000,0.000000,707.416016,15.751175,-21.317564,0.030134,0.022266
285928.000000,0.000000,0.000000,707.510254,15.731400,-21.295530,0.030099,0.022235
285929.000000,0.000000,0.000000,707.510254,15.731400,-21.295530,0.030099,0.022235
285930.000000,0.000000,0.000000,707.510254,15.771072,-21.339842,0.030162,0.022291
285931.000000,0.000000,0.000000,707.510254,15.771072,-21.339842,0.030162,0.022291
285932.000000,0.000000,0.000000,707.510254,15.771072,-21.339842,0.030162,0.022291
285933.000000,0.000000,0.000000,707.604492,15.751297,-21.317808,0.030127,0.022260
285934.000000,0.000000,0.000000,707.793945,15.791138,-21.317900,0.030119,0.022310
285935.000000,0.000000,0.000000,707.793457,15.751480,-21.362333,0.030182,0.022254
285936.000000,0.000000,0.000000,707.793457,15.751480,-21.362333,0.030182,0.022254
285937.000000,0.000000,0.000000,707.888672,15.771484,-21.340147,0.030146,0.022280
285938.000000,0.000000,0.000000,708.077148,15.732117,-21.340330,0.030138,0.022218
285939.000000,0.000000,0.000000,708.170898,15.751984,-21.362608,0.030166,0.022243
285940.000000,0.000000,0.000000,708.077148,15.732117,-21.340330,0.030138,0.022218
285941.000000,0.000000,0.000000,708.266113,15.771988,-21.340422,0.030131,0.022268
285942.000000,0.000000,0.000000,708.266113,15.771988,-21.340422,0.030131,0.022268
285943.000000,0.000000,0.000000,708.360352,15.752335,-21.362669,0.030158,0.022238
285944.000000,0.000000,0.000000,708.454590,15.772202,-21.384947,0.030185,0.022263
285945.000000,0.000000,0.000000,708.265625,15.771851,-21.384886,0.030193,0.022268
285946.000000,0.000000,0.000000,708.454590,15.772202,-21.384947,0.030185,0.022263
285947.000000,0.000000,0.000000,708.454102,15.772034,-21.429411,0.030248,0.022263
285948.000000,0.000000,0.000000,708.643555,15.772263,-21.385191,0.030178,0.022257
285949.000000,0.000000,0.000000,708.643555,15.772263,-21.385191,0.030178,0.022257
285950.000000,0.000000,0.000000,708.643066,15.772324,-21.429472,0.030240,0.022257
285951.000000,0.000000,0.000000,708.926758,15.792496,-21.407560,0.030197,0.022277
285952.000000,0.000000,0.000000,708.926758,15.792557,-21.451841,0.030260,0.022277
285953.000000,0.000000,0.000000,709.115234,15.792679,-21.452085,0.030252,0.022271
285954.000000,0.000000,0.000000,708.926758,15.792496,-21.407560,0.030197,0.022277
285955.000000,0.000000,0.000000,708.926758,15.832047,-21.451872,0.030260,0.022332
285956.000000,0.000000,0.000000,708.926758,15.832047,-21.451872,0.030260,0.022332
285957.000000,0.000000,0.000000,708.926758,15.792557,-21.451841,0.030260,0.022277
285958.000000,0.000000,0.000000,709.020996,15.812393,-21.474119,0.030287,0.022302
285959.000000,0.000000,0.000000,709.209961,15.812683,-21.429899,0.030217,0.022296
285960.000000,0.000000,0.000000,709.021484,15.812561,-21.429655,0.030224,0.022302
285961.000000,0.000000,0.000000,709.209961,15.812683,-21.429899,0.030217,0.022296
285962.000000,0.000000,0.000000,709.209961,15.812683,-21.429899,0.030217,0.022296
285963.000000,0.000000,0.000000,709.020996,15.812393,-21.474119,0.030287,0.022302
285964.000000,0.000000,0.000000,709.115723,15.832397,-21.451933,0.030252,0.022327
285965.000000,0.000000,0.000000,709.210449,15.852203,-21.429930,0.030217,0.022352
285966.000000,0.000000,0.000000,709.305664,15.872208,-21.407743,0.030181,0.022377
285967.000000,0.000000,0.000000,709.021484,15.852051,-21.429686,0.030224,0.022358
285968.000000,0.000000,0.000000,709.116211,15.871918,-21.451963,0.030252,0.022383
285969.000000,0.000000,0.000000,709.400391,15.892075,-21.430021,0.030209,0.022402
285970.000000,0.000000,0.000000,709.305664,15.872208,-21.407743,0.030181,0.022377
285971.000000,0.000000,0.000000,709.209961,15.812683,-21.429899,0.030217,0.022296
285972.000000,0.000000,0.000000,709.210449,15.852264,-21.474211,0.030279,0.022352
285973.000000,0.000000,0.000000,709.115723,15.832397,-21.451933,0.030252,0.022327
285974.000000,0.000000,0.000000,709.210449,15.852264,-21.474211,0.030279,0.022352
285975.000000,0.000000,0.000000,709.305664,15.872269,-21.452024,0.030244,0.022377
285976.000000,0.000000,0.000000,709.494141,15.872421,-21.452269,0.030236,0.022371
285977.000000,0.000000,0.000000,709.399414,15.892136,-21.474302,0.030271,0.022402
285978.000000,0.000000,0.000000,709.494141,15.872421,-21.452269,0.030236,0.022371
285979.000000,0.000000,0.000000,709.494141,15.832901,-21.452269,0.030236,0.022316
285980.000000,0.000000,0.000000,709.494629,15.912125,-21.452116,0.030236,0.022427
285981.000000,0.000000,0.000000,709.494629,15.872543,-21.407804,0.030173,0.022372
285982.000000,0.000000,0.000000,709.683105,15.872757,-21.452360,0.030228,0.022366
285983.000000,0.000000,0.000000,709.588867,15.852890,-21.430082,0.030201,0.022341
285984.000000,0.000000,0.000000,709.494141,15.872421,-21.452269,0.030236,0.022371
285985.000000,0.000000,0.000000,709.587891,15.852768,-21.474546,0.030263,0.022341
285986.000000,0.000000,0.000000,709.304688,15.832550,-21.452177,0.030244,0.022321
285987.000000,0.000000,0.000000,709.304688,15.832550,-21.452177,0.030244,0.022321
285988.000000,0.000000,0.000000,709.399414,15.852554,-21.429991,0.030209,0.022346
285989.000000,0.000000,0.000000,709.494141,15.832901,-21.452269,0.030236,0.022316
285990.000000,0.000000,0.000000,709.588867,15.852890,-21.430082,0.030201,0.022341
285991.000000,0.000000,0.000000,709.494141,15.832901,-21.452269,0.030236,0.022316
285992.000000,0.000000,0.000000,709.682617,15.833054,-21.452513,0.030228,0.022310
285993.000000,0.000000,0.000000,709.399414,15.852554,-21.429991,0.030209,0.022346
285994.000000,0.000000,0.000000,709.304688,15.832687,-21.407713,0.030181,0.022321
285995.000000,0.000000,0.000000,709.304688,15.793198,-21.407713,0.030181,0.022266
285996.000000,0.000000,0.000000,709.304199,15.793030,-21.452177,0.030244,0.022266
285997.000000,0.000000,0.000000,709.398438,15.773315,-21.430143,0.030209,0.022235
285998.000000,0.000000,0.000000,709.399414,15.812973,-21.385679,0.030146,0.022291
285999.000000,0.000000,0.000000,709.304688,15.792969,-21.407866,0.030181,0.022265
286000.000000,0.000000,0.000000,709.115723,15.792847,-21.407621,0.030189,0.022271
286001.000000,0.000000,0.000000,709.210938,15.812851,-21.385435,0.030154,0.022296
286002.000000,0.000000,0.000000,709.209961,15.773193,-21.429899,0.030217,0.022241
286003.000000,0.000000,0.000000,709.115723,15.792847,-21.407621,0.030189,0.022271
286004.000000,0.000000,0.000000,709.209473,15.733582,-21.385588,0.030154,0.022185
286005.000000,0.000000,0.000000,709.115234,15.753296,-21.407621,0.030189,0.022215
286006.000000,0.000000,0.000000,709.115234,15.753296,-21.407621,0.030189,0.022215
286007.000000,0.000000,0.000000,709.115234,15.753296,-21.407621,0.030189,0.022215
286008.000000,0.000000,0.000000,708.926270,15.713455,-21.407530,0.030197,0.022165
286009.000000,0.000000,0.000000,708.832031,15.733170,-21.429564,0.030232,0.022196
286010.000000,0.000000,0.000000,708.831543,15.693588,-21.385252,0.030170,0.022140
286011.000000,0.000000,0.000000,708.831543,15.693588,-21.385252,0.030170,0.022140
286012.000000,0.000000,0.000000,708.737305,15.713242,-21.362974,0.030142,0.022171
286013.000000,0.000000,0.000000,708.831543,15.693588,-21.385252,0.030170,0.022140
