EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
112615.000000,0.000000,0.000000,532.737793,28.059145,-7.077279,0.013285,0.052670
112616.000000,0.000000,0.000000,532.359863,28.058672,-7.076973,0.013294,0.052706
112617.000000,0.000000,0.000000,532.359863,28.058672,-7.076973,0.013294,0.052706
112618.000000,0.000000,0.000000,532.359863,28.058672,-7.076973,0.013294,0.052706
112619.000000,0.000000,0.000000,532.454102,28.038958,-7.054909,0.013250,0.052660
112620.000000,0.000000,0.000000,532.454102,28.038958,-7.054909,0.013250,0.052660
112621.000000,0.000000,0.000000,532.454590,28.039095,-7.010476,0.013166,0.052660
112622.000000,0.000000,0.000000,532.548828,28.019442,-7.032723,0.013206,0.052614
112623.000000,0.000000,0.000000,532.454102,28.038958,-7.054909,0.013250,0.052660
112624.000000,0.000000,0.000000,532.643555,28.039248,-7.010720,0.013162,0.052642
112625.000000,0.000000,0.000000,532.548828,28.019381,-6.988442,0.013123,0.052614
112626.000000,0.000000,0.000000,532.548828,28.019381,-6.988442,0.013123,0.052614
112627.000000,0.000000,0.000000,532.548828,28.019381,-6.988442,0.013123,0.052614
112628.000000,0.000000,0.000000,532.643555,28.039385,-6.966256,0.013079,0.052642
112629.000000,0.000000,0.000000,532.454590,28.039095,-7.010476,0.013166,0.052660
112630.000000,0.000000,0.000000,532.549316,28.059099,-6.988289,0.013122,0.052688
112631.000000,0.000000,0.000000,532.643555,27.999743,-6.921944,0.012995,0.052568
112632.000000,0.000000,0.000000,532.643555,27.999743,-6.921944,0.012995,0.052568
112633.000000,0.000000,0.000000,532.454102,27.999514,-6.966164,0.013083,0.052586
112634.000000,0.000000,0.000000,532.360352,28.019167,-6.943917,0.013044,0.052632
112635.000000,0.000000,0.000000,532.549316,28.019518,-6.943978,0.013039,0.052614
112636.000000,0.000000,0.000000,532.454102,27.999514,-6.966164,0.013083,0.052586
112637.000000,0.000000,0.000000,532.359863,27.979677,-6.943856,0.013044,0.052558
112638.000000,0.000000,0.000000,532.265625,27.999331,-6.921608,0.013004,0.052604
112639.000000,0.000000,0.000000,532.549316,27.979906,-6.899636,0.012956,0.052540
112640.000000,0.000000,0.000000,532.454590,27.999681,-6.921669,0.013000,0.052586
112641.000000,0.000000,0.000000,532.360352,28.019228,-6.988198,0.013127,0.052632
112642.000000,0.000000,0.000000,532.171387,28.019045,-6.943642,0.013048,0.052650
112643.000000,0.000000,0.000000,532.360840,28.019335,-6.899422,0.012960,0.052632
112644.000000,0.000000,0.000000,532.360840,27.979662,-6.855111,0.012877,0.052558
112645.000000,0.000000,0.000000,532.077148,27.999086,-6.877083,0.012925,0.052622
112646.000000,0.000000,0.000000,532.171875,27.979372,-6.855050,0.012881,0.052576
112647.000000,0.000000,0.000000,532.360840,27.979662,-6.855111,0.012877,0.052558
112648.000000,0.000000,0.000000,532.266113,27.999437,-6.877144,0.012920,0.052604
112649.000000,0.000000,0.000000,532.266113,27.999437,-6.877144,0.012920,0.052604
112650.000000,0.000000,0.000000,532.266113,27.999437,-6.877144,0.012920,0.052604
112651.000000,0.000000,0.000000,532.172363,28.019091,-6.854897,0.012881,0.052650
112652.000000,0.000000,0.000000,532.266602,27.999376,-6.832863,0.012837,0.052604
112653.000000,0.000000,0.000000,532.171875,27.979601,-6.854867,0.012881,0.052576
112654.000000,0.000000,0.000000,532.077637,27.999254,-6.832619,0.012841,0.052622
112655.000000,0.000000,0.000000,532.077637,27.999254,-6.832619,0.012841,0.052622
112656.000000,0.000000,0.000000,532.077637,27.999254,-6.832619,0.012841,0.052622
112657.000000,0.000000,0.000000,532.171875,27.979540,-6.810585,0.012798,0.052576
112658.000000,0.000000,0.000000,532.266113,27.959826,-6.832833,0.012837,0.052530
112659.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112660.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112661.000000,0.000000,0.000000,532.171875,27.979540,-6.810585,0.012798,0.052576
112662.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112663.000000,0.000000,0.000000,532.266602,27.999376,-6.832863,0.012837,0.052604
112664.000000,0.000000,0.000000,532.266602,27.959826,-6.788552,0.012754,0.052530
112665.000000,0.000000,0.000000,532.361328,27.979815,-6.810647,0.012793,0.052558
112666.000000,0.000000,0.000000,532.171875,27.979540,-6.810585,0.012798,0.052576
112667.000000,0.000000,0.000000,532.078125,27.999315,-6.743874,0.012675,0.052623
112668.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112669.000000,0.000000,0.000000,532.172852,28.019182,-6.766152,0.012714,0.052651
112670.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112671.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112672.000000,0.000000,0.000000,532.267578,27.999666,-6.743935,0.012670,0.052604
112673.000000,0.000000,0.000000,532.172363,27.979662,-6.766121,0.012714,0.052576
112674.000000,0.000000,0.000000,532.361816,28.019533,-6.766213,0.012710,0.052632
112675.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112676.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112677.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112678.000000,0.000000,0.000000,532.172363,27.979662,-6.766121,0.012714,0.052576
112679.000000,0.000000,0.000000,532.361328,27.979815,-6.766366,0.012710,0.052558
112680.000000,0.000000,0.000000,532.266602,27.999529,-6.788399,0.012754,0.052604
112681.000000,0.000000,0.000000,532.456055,28.039370,-6.788491,0.012749,0.052660
112682.000000,0.000000,0.000000,532.456055,27.999651,-6.788643,0.012750,0.052586
112683.000000,0.000000,0.000000,532.456055,27.999819,-6.744179,0.012666,0.052586
112684.000000,0.000000,0.000000,532.550293,27.979876,-6.766610,0.012706,0.052539
112685.000000,0.000000,0.000000,532.457031,28.039309,-6.744210,0.012666,0.052660
112686.000000,0.000000,0.000000,532.362305,28.059023,-6.766243,0.012710,0.052707
112687.000000,0.000000,0.000000,532.550781,28.019655,-6.766457,0.012706,0.052614
112688.000000,0.000000,0.000000,532.457031,28.039309,-6.744210,0.012666,0.052660
112689.000000,0.000000,0.000000,532.362305,28.019472,-6.721932,0.012627,0.052632
112690.000000,0.000000,0.000000,532.456055,27.999819,-6.744179,0.012666,0.052586
112691.000000,0.000000,0.000000,532.645508,28.039660,-6.744271,0.012662,0.052642
112692.000000,0.000000,0.000000,532.551758,28.059313,-6.722023,0.012622,0.052688
112693.000000,0.000000,0.000000,532.456055,28.039370,-6.788491,0.012749,0.052660
112694.000000,0.000000,0.000000,532.551270,28.019823,-6.721993,0.012622,0.052614
112695.000000,0.000000,0.000000,532.551270,28.019823,-6.721993,0.012622,0.052614
112696.000000,0.000000,0.000000,532.645508,28.039660,-6.744271,0.012662,0.052642
112697.000000,0.000000,0.000000,532.740234,28.059664,-6.722115,0.012618,0.052670
112698.000000,0.000000,0.000000,532.645996,28.039537,-6.699990,0.012579,0.052642
112699.000000,0.000000,0.000000,532.551270,28.019701,-6.677712,0.012539,0.052614
112700.000000,0.000000,0.000000,532.740234,28.019884,-6.722237,0.012618,0.052596
112701.000000,0.000000,0.000000,532.740234,28.019884,-6.722237,0.012618,0.052596
112702.000000,0.000000,0.000000,532.834961,28.039888,-6.700081,0.012574,0.052624
112703.000000,0.000000,0.000000,532.929688,28.059786,-6.722359,0.012614,0.052652
112704.000000,0.000000,0.000000,532.835938,28.119204,-6.699959,0.012574,0.052773
112705.000000,0.000000,0.000000,532.930176,28.099428,-6.677926,0.012531,0.052726
112706.000000,0.000000,0.000000,532.929688,28.099550,-6.722207,0.012614,0.052727
112707.000000,0.000000,0.000000,532.929688,28.099550,-6.722207,0.012614,0.052727
112708.000000,0.000000,0.000000,532.929688,28.099550,-6.722207,0.012614,0.052727
112709.000000,0.000000,0.000000,533.024414,28.079775,-6.700173,0.012570,0.052680
112710.000000,0.000000,0.000000,532.835938,28.119204,-6.699959,0.012574,0.052773
112711.000000,0.000000,0.000000,532.929688,28.099550,-6.722207,0.012614,0.052727
112712.000000,0.000000,0.000000,532.835938,28.119204,-6.699959,0.012574,0.052773
112713.000000,0.000000,0.000000,532.835938,28.119204,-6.699959,0.012574,0.052773
112714.000000,0.000000,0.000000,533.024414,28.079775,-6.700173,0.012570,0.052680
112715.000000,0.000000,0.000000,533.119141,28.099779,-6.677987,0.012526,0.052708
112716.000000,0.000000,0.000000,533.024414,28.119555,-6.700020,0.012570,0.052755
112717.000000,0.000000,0.000000,533.025391,28.159044,-6.700081,0.012570,0.052829
112718.000000,0.000000,0.000000,533.025391,28.159044,-6.700081,0.012570,0.052829
112719.000000,0.000000,0.000000,533.119141,28.139269,-6.678048,0.012526,0.052782
112720.000000,0.000000,0.000000,533.119141,28.139391,-6.722329,0.012609,0.052783
112721.000000,0.000000,0.000000,533.213867,28.119616,-6.700295,0.012566,0.052736
112722.000000,0.000000,0.000000,533.213379,28.080126,-6.655922,0.012483,0.052662
112723.000000,0.000000,0.000000,533.119629,28.139437,-6.633553,0.012443,0.052783
112724.000000,0.000000,0.000000,533.119629,28.139437,-6.633553,0.012443,0.052783
112725.000000,0.000000,0.000000,533.214355,28.159273,-6.655861,0.012483,0.052810
112726.000000,0.000000,0.000000,533.214355,28.159273,-6.655861,0.012483,0.052810
112727.000000,0.000000,0.000000,533.214355,28.159273,-6.655861,0.012483,0.052810
112728.000000,0.000000,0.000000,533.308594,28.179140,-6.678139,0.012522,0.052838
112729.000000,0.000000,0.000000,533.214355,28.159273,-6.655861,0.012483,0.052810
112730.000000,0.000000,0.000000,533.120117,28.179049,-6.677895,0.012526,0.052857
112731.000000,0.000000,0.000000,533.308594,28.179262,-6.722420,0.012605,0.052839
112732.000000,0.000000,0.000000,533.309082,28.179262,-6.633675,0.012439,0.052839
112733.000000,0.000000,0.000000,533.214355,28.159273,-6.655861,0.012483,0.052810
112734.000000,0.000000,0.000000,533.214844,28.199038,-6.655709,0.012482,0.052885
112735.000000,0.000000,0.000000,533.120605,28.218691,-6.633461,0.012443,0.052931
112736.000000,0.000000,0.000000,533.214844,28.199038,-6.655709,0.012482,0.052885
112737.000000,0.000000,0.000000,533.309082,28.179262,-6.633675,0.012439,0.052839
112738.000000,0.000000,0.000000,533.309082,28.179262,-6.633675,0.012439,0.052839
112739.000000,0.000000,0.000000,533.309082,28.179262,-6.633675,0.012439,0.052839
112740.000000,0.000000,0.000000,533.214844,28.159426,-6.611367,0.012399,0.052811
112741.000000,0.000000,0.000000,533.214844,28.198915,-6.611428,0.012399,0.052885
112742.000000,0.000000,0.000000,533.214844,28.198915,-6.611428,0.012399,0.052885
112743.000000,0.000000,0.000000,533.404297,28.238787,-6.611550,0.012395,0.052941
112744.000000,0.000000,0.000000,533.404297,28.238924,-6.567086,0.012312,0.052941
112745.000000,0.000000,0.000000,533.309570,28.218920,-6.589272,0.012355,0.052913
112746.000000,0.000000,0.000000,533.309570,28.218920,-6.589272,0.012355,0.052913
112747.000000,0.000000,0.000000,533.309570,28.218920,-6.589272,0.012355,0.052913
112748.000000,0.000000,0.000000,533.404297,28.238787,-6.611550,0.012395,0.052941
112749.000000,0.000000,0.000000,533.499023,28.258791,-6.589364,0.012351,0.052969
112750.000000,0.000000,0.000000,533.404297,28.238924,-6.567086,0.012312,0.052941
112751.000000,0.000000,0.000000,533.404297,28.238924,-6.567086,0.012312,0.052941
112752.000000,0.000000,0.000000,533.499023,28.258791,-6.589364,0.012351,0.052969
112753.000000,0.000000,0.000000,533.404297,28.238787,-6.611550,0.012395,0.052941
112754.000000,0.000000,0.000000,533.499023,28.258791,-6.589364,0.012351,0.052969
112755.000000,0.000000,0.000000,533.310547,28.298220,-6.589150,0.012355,0.053061
112756.000000,0.000000,0.000000,533.215332,28.238695,-6.611306,0.012399,0.052959
112757.000000,0.000000,0.000000,533.310547,28.258699,-6.589119,0.012355,0.052987
112758.000000,0.000000,0.000000,533.404297,28.238924,-6.567086,0.012312,0.052941
112759.000000,0.000000,0.000000,533.404297,28.238924,-6.567086,0.012312,0.052941
112760.000000,0.000000,0.000000,533.310547,28.258699,-6.589119,0.012355,0.052987
112761.000000,0.000000,0.000000,533.215820,28.278353,-6.566872,0.012316,0.053034
112762.000000,0.000000,0.000000,533.310547,28.258577,-6.544838,0.012272,0.052987
112763.000000,0.000000,0.000000,533.121094,28.218737,-6.544716,0.012276,0.052931
112764.000000,0.000000,0.000000,533.310547,28.258577,-6.544838,0.012272,0.052987
112765.000000,0.000000,0.000000,533.216309,28.278521,-6.522377,0.012232,0.053034
112766.000000,0.000000,0.000000,533.027344,28.278170,-6.522316,0.012236,0.053052
112767.000000,0.000000,0.000000,533.122070,28.258394,-6.500283,0.012193,0.053005
112768.000000,0.000000,0.000000,533.216309,28.278521,-6.522377,0.012232,0.053034
112769.000000,0.000000,0.000000,533.311035,28.258745,-6.500344,0.012189,0.052987
112770.000000,0.000000,0.000000,533.311035,28.258745,-6.500344,0.012189,0.052987
112771.000000,0.000000,0.000000,533.310547,28.219088,-6.500466,0.012189,0.052913
112772.000000,0.000000,0.000000,533.310547,28.219088,-6.500466,0.012189,0.052913
112773.000000,0.000000,0.000000,533.215820,28.238741,-6.522530,0.012232,0.052959
112774.000000,0.000000,0.000000,533.121582,28.218843,-6.500252,0.012193,0.052931
112775.000000,0.000000,0.000000,533.121582,28.218843,-6.500252,0.012193,0.052931
112776.000000,0.000000,0.000000,533.026855,28.198839,-6.522439,0.012237,0.052903
112777.000000,0.000000,0.000000,533.121582,28.218843,-6.500252,0.012193,0.052931
112778.000000,0.000000,0.000000,533.121582,28.218843,-6.500252,0.012193,0.052931
112779.000000,0.000000,0.000000,533.027344,28.238497,-6.478005,0.012153,0.052978
112780.000000,0.000000,0.000000,533.215820,28.199190,-6.478188,0.012149,0.052885
112781.000000,0.000000,0.000000,533.215820,28.199190,-6.478188,0.012149,0.052885
112782.000000,0.000000,0.000000,533.215820,28.199190,-6.478188,0.012149,0.052885
112783.000000,0.000000,0.000000,533.311035,28.219194,-6.456002,0.012106,0.052913
112784.000000,0.000000,0.000000,533.215820,28.199190,-6.478188,0.012149,0.052885
112785.000000,0.000000,0.000000,533.215820,28.199190,-6.478188,0.012149,0.052885
112786.000000,0.000000,0.000000,533.215820,28.159578,-6.433877,0.012066,0.052811
112787.000000,0.000000,0.000000,533.121582,28.179354,-6.455910,0.012110,0.052857
112788.000000,0.000000,0.000000,533.121582,28.179354,-6.455910,0.012110,0.052857
112789.000000,0.000000,0.000000,533.122070,28.219011,-6.411477,0.012026,0.052932
112790.000000,0.000000,0.000000,533.310547,28.179583,-6.411690,0.012022,0.052839
112791.000000,0.000000,0.000000,533.215820,28.159578,-6.433877,0.012066,0.052811
112792.000000,0.000000,0.000000,533.121582,28.179354,-6.455910,0.012110,0.052857
112793.000000,0.000000,0.000000,533.027344,28.159487,-6.433632,0.012070,0.052829
112794.000000,0.000000,0.000000,533.121582,28.179354,-6.455910,0.012110,0.052857
112795.000000,0.000000,0.000000,533.215820,28.119997,-6.389565,0.011983,0.052737
112796.000000,0.000000,0.000000,533.215820,28.159578,-6.433877,0.012066,0.052811
112797.000000,0.000000,0.000000,533.215820,28.119997,-6.389565,0.011983,0.052737
112798.000000,0.000000,0.000000,533.215820,28.119997,-6.389565,0.011983,0.052737
112799.000000,0.000000,0.000000,533.121094,28.139711,-6.411599,0.012027,0.052783
112800.000000,0.000000,0.000000,533.121094,28.139711,-6.411599,0.012027,0.052783
112801.000000,0.000000,0.000000,533.026855,28.119646,-6.389504,0.011987,0.052755
112802.000000,0.000000,0.000000,533.027344,28.119783,-6.345040,0.011904,0.052755
112803.000000,0.000000,0.000000,533.121094,28.139711,-6.411599,0.012027,0.052783
112804.000000,0.000000,0.000000,533.215820,28.119997,-6.389565,0.011983,0.052737
112805.000000,0.000000,0.000000,533.215820,28.119997,-6.389565,0.011983,0.052737
112806.000000,0.000000,0.000000,533.120605,28.099993,-6.411751,0.012027,0.052709
112807.000000,0.000000,0.000000,533.120605,28.099993,-6.411751,0.012027,0.052709
112808.000000,0.000000,0.000000,533.026367,28.080126,-6.389473,0.011987,0.052681
112809.000000,0.000000,0.000000,533.026855,28.119844,-6.389321,0.011987,0.052755
112810.000000,0.000000,0.000000,533.026855,28.119844,-6.389321,0.011987,0.052755
112811.000000,0.000000,0.000000,532.932129,28.099779,-6.367226,0.011948,0.052727
112812.000000,0.000000,0.000000,532.837891,28.119493,-6.389260,0.011991,0.052773
112813.000000,0.000000,0.000000,532.931641,28.060122,-6.411629,0.012031,0.052652
112814.000000,0.000000,0.000000,532.836914,28.040285,-6.389351,0.011991,0.052625
112815.000000,0.000000,0.000000,532.742188,28.020418,-6.367074,0.011952,0.052597
112816.000000,0.000000,0.000000,532.742188,28.020418,-6.367074,0.011952,0.052597
112817.000000,0.000000,0.000000,532.647461,28.000429,-6.389260,0.011995,0.052568
112818.000000,0.000000,0.000000,532.647461,28.000429,-6.389260,0.011995,0.052568
112819.000000,0.000000,0.000000,532.553711,28.020082,-6.367013,0.011956,0.052615
112820.000000,0.000000,0.000000,532.553711,28.020082,-6.367013,0.011956,0.052615
112821.000000,0.000000,0.000000,532.647461,28.000429,-6.389260,0.011995,0.052568
112822.000000,0.000000,0.000000,532.647461,28.000429,-6.389260,0.011995,0.052568
112823.000000,0.000000,0.000000,532.742188,28.020418,-6.367074,0.011952,0.052597
112824.000000,0.000000,0.000000,532.647461,28.000429,-6.389260,0.011995,0.052568
112825.000000,0.000000,0.000000,532.458984,28.000216,-6.344735,0.011916,0.052587
112826.000000,0.000000,0.000000,532.458984,28.000216,-6.344735,0.011916,0.052587
112827.000000,0.000000,0.000000,532.458984,28.000216,-6.344735,0.011916,0.052587
112828.000000,0.000000,0.000000,532.458984,28.000216,-6.344735,0.011916,0.052587
112829.000000,0.000000,0.000000,532.364746,27.980349,-6.322457,0.011876,0.052559
112830.000000,0.000000,0.000000,532.458496,27.960695,-6.344704,0.011916,0.052512
112831.000000,0.000000,0.000000,532.364746,27.980349,-6.322457,0.011876,0.052559
112832.000000,0.000000,0.000000,532.269531,27.960344,-6.344643,0.011920,0.052530
112833.000000,0.000000,0.000000,532.269531,27.960344,-6.344643,0.011920,0.052530
112834.000000,0.000000,0.000000,532.364258,27.940630,-6.322609,0.011876,0.052484
112835.000000,0.000000,0.000000,532.174805,27.940477,-6.322365,0.011880,0.052502
112836.000000,0.000000,0.000000,532.174805,27.940477,-6.322365,0.011880,0.052502
112837.000000,0.000000,0.000000,532.269531,27.960344,-6.344643,0.011920,0.052530
112838.000000,0.000000,0.000000,532.269531,27.960344,-6.344643,0.011920,0.052530
112839.000000,0.000000,0.000000,532.269531,27.960344,-6.344643,0.011920,0.052530
